Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
407,137,2,2,168345.0738218,4.958733333333,748.511871125886
408,137,3,2,68254.5032344561,4.975783333333,770.493720147663
409,138,1,1,948737.6249259,4.977816666667,
410,138,2,2,34735.9913522361,4.995433333333,285.28955652781
411,138,3,2,128944.1545285,5.012483333333,563.502405146425
412,139,1,1,958356.7249438,5.014516666667,
413,139,2,2,67342.1269644328,5.03215,603.495545066003
414,139,3,2,85077.7498160191,5.049183333333,757.497968427053
415,140,1,1,1667383.730859,5.051233333333,
416,140,2,2,228650.2178087,5.068866666667,729.58944133118
417,140,3,2,385959.8326667,5.085916666667,751.571513628806
418,141,1,1,2352795.863655,5.087983333333,
419,141,2,2,88363.0136667262,5.105516666667,563.502831430538
420,141,3,2,79894.1715240419,5.122566666667,819.558955435887
421,142,1,1,2139040.533706,5.1246,
422,142,2,2,35096.7905491075,5.141983333333,285.289461647601
423,142,3,2,37841.5181997367,5.159033333333,767.545627362505
424,143,1,1,331975.2857346,5.161066666667,
425,143,2,2,27540.7475885004,5.1784,729.588832758951
426,143,3,2,30038.6904688218,5.195433333333,751.571011364237
427,144,1,1,669585.5503771,5.197466666667,
428,144,2,2,26192.4455186619,5.215083333333,124.086315370105
429,144,3,2,26488.0209369392,5.232116666667,522.595293902826
430,145,1,1,649358.9115504,5.23415,
431,145,2,2,25278.1171974121,5.251766666667,279.092704833576
432,145,3,2,35831.4367940435,5.2688,285.289511725848
433,146,1,1,625576.5084698,5.270833333333,
434,146,2,2,35934.6560718056,5.28845,467.300195706135
435,146,3,2,30981.5951255447,5.305483333333,489.312902692909
436,147,1,1,630401.972125,5.307516666667,
437,147,2,2,26955.2288631243,5.325133333333,124.086553054947
438,147,3,2,21596.1679631733,5.342183333333,295.188288936775
439,148,1,1,786135.2284021,5.344216666667,
440,148,2,2,79356.1798538473,5.36185,506.492967465998
441,148,3,2,358359.4133748,5.3789,546.485249813007
442,149,1,1,2867503.678018,5.380933333333,
443,149,2,2,559007.3372492,5.398683333333,746.569450212336
444,149,3,2,307782.9039227,5.415733333333,768.550925641152
445,150,1,1,4914520.773112,5.417783333333,
446,150,2,2,121072.2515894,5.4352,524.503060290295
447,150,3,2,80089.886331504,5.452233333333,562.459174285541
448,151,1,1,2142082.144306,5.454266666667,
449,151,2,2,81815.2109626683,5.4716,506.49325133689
450,151,3,2,60673.3292301719,5.488633333333,546.485773405018
451,152,1,1,547214.0029508,5.490666666667,
452,152,2,2,53483.7403874614,5.508016666667,746.569873934605
453,152,3,2,15566.0344727379,5.525066666667,768.549722367565
454,153,1,1,738181.148163,5.5271,
455,153,2,2,35575.7347871872,5.544833333333,285.289549436277
456,153,3,2,165763.4229654,5.561883333333,704.522239453133
457,154,1,1,1242733.67106,5.563933333333,
458,154,2,2,101117.1455129,5.581583333333,563.502415479119
459,154,3,2,226560.2221504,5.598616666667,589.395988631696
460,155,1,1,1652542.707197,5.600666666667,
461,155,2,2,99408.2289849902,5.618433333333,726.503433010137
462,155,3,2,139626.9925103,5.635483333333,792.551941924662
463,156,1,1,1464258.053437,5.63755,
464,156,2,2,129566.3690448,5.655166666667,651.533749411662
465,156,3,2,32999.1197269281,5.6722,704.521701548511
466,157,1,1,5294485.104214,5.67425,
467,157,2,2,331450.3803433,5.6919,515.412303861222
468,157,3,2,498494.8304328,5.708933333333,537.394533022113
469,158,1,1,12914292.71298,5.711,
470,158,2,2,525809.6610442,5.728366666667,663.45313849668
471,158,3,2,263833.919575,5.74535,792.553441595886
472,159,1,1,11328411.98378,5.7474,
473,159,2,2,124842.4995981,5.764716666667,329.213958159028
474,159,3,2,340301.590578,5.78175,520.507759972366
475,160,1,1,3439424.943864,5.783816666667,
476,160,2,2,207945.8797273,5.801166666667,515.412590044383
477,160,3,2,48588.9876297254,5.818133333333,537.39444313864
478,161,1,1,898571.9425495,5.82015,
